"Region","Group","Start","End","Incidents"
"Sub-Saharan Africa","Sudan People's Liberation Movement - North | 0013",2012-10-08,2015-06-02,13
"Sub-Saharan Africa","Revolutionary United Front (RUF) | 0011",1994-04-01,2000-06-12,11
"Sub-Saharan Africa","Tuaregs | 0010",1991-11-09,2014-11-02,10
"Sub-Saharan Africa","Al-Qaida in the Islamic Maghreb (AQIM) | 0009",2008-09-15,2015-08-03,9
"Sub-Saharan Africa","South-West Africa People's Organization (SWAPO) | 0008",1979-02-27,1988-09-09,8
"Sub-Saharan Africa","Gunmen | 0007",2000-08-29,2011-11-28,7
"Sub-Saharan Africa","Hizbul al Islam (Somalia) | 0007",2010-07-05,2010-12-13,7
"Sub-Saharan Africa","Sudan People's Liberation Army (SPLA) | 0007",1988-02-12,2011-01-08,7
"Sub-Saharan Africa","Democratic Front for the Liberation of Rwanda (FDLR) | 0006",2015-04-06,2015-09-24,6
"Sub-Saharan Africa","Liberation and Justice Movement (LJM) | 0006",2014-01-13,2014-11-23,6
"Sub-Saharan Africa","Movement for the Emancipation of the Niger Delta (MEND) | 0006",2007-01-10,2013-11-13,6
"Sub-Saharan Africa","Mujahideen Youth Movement (MYM) | 0006",2007-06-01,2008-05-07,6
"Sub-Saharan Africa","Muslim Fundamentalists | 0006",2014-01-04,2015-08-08,6
"Sub-Saharan Africa","Rahanwein Resistance Army (RRA) | 0006",1997-08-14,1997-12-29,6
"Sub-Saharan Africa","Ansar al-Dine (Mali) | 0005",2015-06-27,2015-12-25,5
"Sub-Saharan Africa","Gbagbo Loyalists | 0005",2012-08-05,2012-08-13,5
"Sub-Saharan Africa","Ahlu-sunah Wal-jamea (Somalia) | 0004",2008-12-23,2015-07-19,4
"Sub-Saharan Africa","Azawad National Liberation Movement (MNLA) | 0004",2013-09-29,2015-05-11,4
"Sub-Saharan Africa","Janjaweed | 0004",2004-04-16,2015-07-30,4
"Sub-Saharan Africa","Mayi Mayi | 0004",2008-11-04,2013-10-29,4
"Sub-Saharan Africa","Modakeke Ethnics | 0004",1997-08-20,1997-08-20,4
"Sub-Saharan Africa","National Council for Defense of Democracy (NCDD) | 0004",1999-10-12,2003-07-17,4
"Sub-Saharan Africa","National Liberation Front (FNL) (Burundi) | 0004",2014-02-02,2014-10-05,4
"Sub-Saharan Africa","National Patriotic Front of Liberia (NPFL) | 0004",1991-04-16,1994-06-21,4
"Sub-Saharan Africa","Popular Movement for the Liberation of Angola | 0004",1992-07-12,1992-10-28,4
"Sub-Saharan Africa","Seleka | 0004",2013-11-16,2014-08-04,4
"Sub-Saharan Africa","Tuareg Guerrillas | 0004",1991-12-12,2007-05-12,4
"Sub-Saharan Africa","Tutsi | 0004",1991-11-26,2001-07-22,4
"Sub-Saharan Africa","Anti-Balaka Militia | 0003",2013-12-31,2014-07-30,3
"Sub-Saharan Africa","Coordination of Azawad Movements (CMA) | 0003",2015-05-02,2015-05-22,3
"Sub-Saharan Africa","Eritrean Liberation Front | 0003",1970-01-11,1978-10-26,3
"Sub-Saharan Africa","Front for the Liberation of the Enclave of Cabinda (FLEC) | 0003",1995-03-18,2000-05-24,3
"Sub-Saharan Africa","Front for the Restoration of Unity and Democracy | 0003",1992-01-17,1992-02-24,3
"Sub-Saharan Africa","Islamic Courts Union (ICU) | 0003",2005-10-17,2008-03-19,3
"Sub-Saharan Africa","Macina Liberation Front (FLM) | 0003",2015-08-10,2015-12-09,3
"Sub-Saharan Africa","National Alliance (Chad) | 0003",2008-06-14,2008-06-16,3
"Sub-Saharan Africa","Party for the Liberation of the Hutu People (PALIPEHUTU) | 0003",1992-04-08,2002-11-19,3
"Sub-Saharan Africa","Self-Defense Group of Imghad Tuaregs and Allies (GATIA) | 0003",2015-01-28,2015-05-21,3
"Sub-Saharan Africa","Sudan Alliance Forces | 0003",1996-04-20,1996-11-14,3
"Sub-Saharan Africa","Sudan Liberation Movement | 0003",2008-11-27,2015-06-16,3
"Sub-Saharan Africa","Zimbabwe African Nationalist Union (ZANU) | 0003",1979-04-01,2013-02-23,3
"Sub-Saharan Africa","Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood) | 0002",2014-07-14,2015-01-26,2
"Sub-Saharan Africa","Alliance of Patriots for a Free and Sovereign Congo (APCLS) | 0002",2014-04-30,2015-09-24,2
"Sub-Saharan Africa","Arab Movement of Azawad (MAA) | 0002",2014-12-15,2015-05-18,2
"Sub-Saharan Africa","Black Nationalists | 0002",1979-02-08,1985-12-12,2
"Sub-Saharan Africa","Congolese Democratic Coalition | 0002",1998-10-11,1998-10-11,2
"Sub-Saharan Africa","Convention of Patriots for Justice and Peace | 0002",2011-04-10,2013-02-28,2
"Sub-Saharan Africa","David Yau Yau Militia | 0002",2012-08-23,2013-02-08,2
"Sub-Saharan Africa","Holy Spirit Movement | 0002",1988-02-23,1990-05-11,2
"Sub-Saharan Africa","M23 | 0002",2012-11-15,2013-05-20,2
"Sub-Saharan Africa","Modakeke Ethnic Activists | 0002",1997-12-02,1997-12-06,2
"Sub-Saharan Africa","Movement for Democracy and Justice in Chad (MDJT) | 0002",1999-07-12,2002-05-27,2
"Sub-Saharan Africa","Ninjas | 0002",1999-06-03,1999-06-21,2
"Sub-Saharan Africa","Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD) | 0002",2015-12-15,2015-12-17,2
"Sub-Saharan Africa","People Against Gangsterism and Drugs (PAGAD) | 0002",1999-04-07,2013-07-24,2
"Sub-Saharan Africa","Revolutionary Movement for National Salvation (REMNASA) | 0002",2015-01-27,2015-05-28,2
"Sub-Saharan Africa","Rwanda Patriotic Front (RPF) | 0002",1992-03-12,1994-10-24,2
"Sub-Saharan Africa","Separatists | 0002",1990-07-30,2012-03-11,2
"Sub-Saharan Africa","South Sudan Democratic Army | 0002",2012-04-27,2015-02-16,2
"Sub-Saharan Africa","Sudanese People's Liberation Forces | 0002",1988-02-18,1989-04-18,2
"Sub-Saharan Africa","The Front for the Liberation of the Cabinda Enclave – Renewed (FLEC) | 0002",1999-03-10,2002-01-31,2
"Sub-Saharan Africa","Togolese Dissidents | 0002",1994-01-05,1994-10-06,2
"Sub-Saharan Africa","Tribesmen | 0002",2014-05-24,2014-10-16,2
"Sub-Saharan Africa","United Somali Congress | 0002",1990-07-28,1990-12-16,2
"Sub-Saharan Africa","28s | 0001",2000-01-12,2000-01-12,1
"Sub-Saharan Africa","Angolan Defense Force | 0001",1985-06-29,1985-06-29,1
"Sub-Saharan Africa","Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan) | 0001",2013-01-19,2013-01-19,1
"Sub-Saharan Africa","Anti-Government Demonstrators | 0001",1991-10-24,1991-10-24,1
"Sub-Saharan Africa","Armed Forces for a Federal Republic (FARF) | 0001",1995-07-21,1995-07-21,1
"Sub-Saharan Africa","Armed Subversives | 0001",1979-07-27,1979-07-27,1
"Sub-Saharan Africa","Bandits | 0001",2000-09-04,2000-09-04,1
"Sub-Saharan Africa","Bedouin Movement (Sudan) | 0001",2013-01-21,2013-01-21,1
"Sub-Saharan Africa","Beja Congress | 0001",1996-10-03,1996-10-03,1
"Sub-Saharan Africa","Black African Vigilantes | 0001",1994-10-24,1994-10-24,1
"Sub-Saharan Africa","Committee for a National Drive for Peace and Democracy | 0001",1992-08-17,1992-08-17,1
"Sub-Saharan Africa","Coup Plotters Against the Government | 0001",1991-10-13,1991-10-13,1
"Sub-Saharan Africa","Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK) | 0001",2007-11-05,2007-11-05,1
"Sub-Saharan Africa","Enyele Militia | 0001",2014-07-22,2014-07-22,1
"Sub-Saharan Africa","Ethiopian People's Revolutionary Party | 0001",1992-04-04,1992-04-04,1
"Sub-Saharan Africa","Federation of Students and Scholars of Cote d'Ivoire (FESCI) | 0001",2000-09-29,2000-09-29,1
"Sub-Saharan Africa","Ganda Koi | 0001",1994-07-30,1994-07-30,1
"Sub-Saharan Africa","Guerrillas | 0001",1981-03-16,1981-03-16,1
"Sub-Saharan Africa","Gugama Youth Federation | 0001",2006-05-11,2006-05-11,1
"Sub-Saharan Africa","Gun runners | 0001",1996-05-09,1996-05-09,1
"Sub-Saharan Africa","Hamza Combat Group against Atheism and Heresy | 0001",2014-07-20,2014-07-20,1
"Sub-Saharan Africa","Ijaw militants | 0001",2005-06-15,2005-06-15,1
"Sub-Saharan Africa","Islamic Movement (Nigeria) | 0001",2015-12-12,2015-12-12,1
"Sub-Saharan Africa","Islamic Tendency | 0001",2006-07-04,2006-07-04,1
"Sub-Saharan Africa","Itsekiri | 0001",2004-04-22,2004-04-22,1
"Sub-Saharan Africa","Justice and Equality Movement (JEM) | 0001",2012-11-09,2012-11-09,1
"Sub-Saharan Africa","Kenya African National Union (KANU) | 0001",1995-08-10,1995-08-10,1
"Sub-Saharan Africa","Kisii Activists | 0001",1997-12-19,1997-12-19,1
"Sub-Saharan Africa","Lesotho Liberation Army (LLA) | 0001",1983-07-06,1983-07-06,1
"Sub-Saharan Africa","Liberation War Veterans Association | 0001",2001-03-01,2001-03-01,1
"Sub-Saharan Africa","Mai Mai Bakata Katanga Militia | 0001",2014-10-04,2014-10-04,1
"Sub-Saharan Africa","Mai Mai Simba Militia | 0001",2012-05-04,2012-05-04,1
"Sub-Saharan Africa","Mandela Soccer Club | 0001",1989-02-23,1989-02-23,1
"Sub-Saharan Africa","Marhan Clan | 0001",2001-01-28,2001-01-28,1
"Sub-Saharan Africa","Militia Members | 0001",2003-05-01,2003-05-01,1
"Sub-Saharan Africa","Misseriya Arab Tribesmen | 0001",2015-03-02,2015-03-02,1
"Sub-Saharan Africa","Mombasa Republican Council (MRC) | 0001",2014-11-02,2014-11-02,1
"Sub-Saharan Africa","Movement for Democratic Change (MDC) | 0001",2002-06-08,2002-06-08,1
"Sub-Saharan Africa","Movement of Niger People for Justice (MNJ) | 0001",2007-08-21,2007-08-21,1
"Sub-Saharan Africa","Mozambique Liberation Front (FRELIMO) | 0001",1992-04-03,1992-04-03,1
"Sub-Saharan Africa","National Democratic Alliance of Sudan | 0001",1999-03-31,1999-03-31,1
"Sub-Saharan Africa","National Resistance Movement (NRM) | 0001",1985-06-23,1985-06-23,1
"Sub-Saharan Africa","Nationalist Integrationist Front (FNI) | 0001",2005-06-02,2005-06-02,1
"Sub-Saharan Africa","Nyatura Militia | 0001",2015-12-30,2015-12-30,1
"Sub-Saharan Africa","Ogaden National Liberation Front (ONLF) | 0001",2008-06-29,2008-06-29,1
"Sub-Saharan Africa","Ombatse Cult | 0001",2013-09-17,2013-09-17,1
"Sub-Saharan Africa","Patriotic Resistance Front in Ituri (FRPI) | 0001",2015-03-21,2015-03-21,1
"Sub-Saharan Africa","People's Democratic Party (PDP) | 0001",2014-08-08,2014-08-08,1
"Sub-Saharan Africa","Popular Front for the Liberation of the Sahara | 0001",1994-05-16,1994-05-16,1
"Sub-Saharan Africa","Popular Movement for the Liberation of Cabinda | 0001",1979-08-01,1979-08-01,1
"Sub-Saharan Africa","Popular Resistance Army (PRA) | 0001",1981-04-22,1981-04-22,1
"Sub-Saharan Africa","Revolutionary Front | 0001",2012-02-26,2012-02-26,1
"Sub-Saharan Africa","Right-Wing Group | 0001",1985-09-25,1985-09-25,1
"Sub-Saharan Africa","Rival clan | 0001",1997-08-23,1997-08-23,1
"Sub-Saharan Africa","Rival Zulu Group, name not stated | 0001",1994-02-20,1994-02-20,1
"Sub-Saharan Africa","Rwenzururu Rebels | 0001",1990-03-04,1990-03-04,1
"Sub-Saharan Africa","Saharan Revolutionary Armed Front (FARS) | 0001",1997-09-20,1997-09-20,1
"Sub-Saharan Africa","Salafist Group for Preaching and Fighting (GSPC) | 0001",2005-07-05,2005-07-05,1
"Sub-Saharan Africa","Shabelle Valley militia | 0001",2012-01-02,2012-01-02,1
"Sub-Saharan Africa","Somali National Alliance | 0001",1992-09-23,1992-09-23,1
"Sub-Saharan Africa","Somali National Movement | 0001",1989-09-02,1989-09-02,1
"Sub-Saharan Africa","South Sudan Armed Forces (SSAF) | 0001",2015-12-05,2015-12-05,1
"Sub-Saharan Africa","Sudan Liberation Army-Minni Minawi (SLA-MM) | 0001",2012-04-18,2012-04-18,1
"Sub-Saharan Africa","Sudan Revolutionary Front (SRF) | 0001",2013-05-31,2013-05-31,1
"Sub-Saharan Africa","Sudanese Rebels | 0001",2012-04-24,2012-04-24,1
"Sub-Saharan Africa","Supporters of Joshua Nkomo | 0001",1982-08-05,1982-08-05,1
"Sub-Saharan Africa","Tepi Youth | 0001",2015-10-28,2015-10-28,1
"Sub-Saharan Africa","Uganda Freedom Movement (UFM) | 0001",1981-05-10,1981-05-10,1
"Sub-Saharan Africa","Uganda People's Army | 0001",1988-09-17,1988-09-17,1
"Sub-Saharan Africa","Union of Congolese Patriots (UPC) | 0001",2012-06-05,2012-06-05,1
"Sub-Saharan Africa","United Liberation Movement for Democracy in Liberia (ULIMO) | 0001",1992-03-29,1992-03-29,1
"Sub-Saharan Africa","Zimbabwe Guerrillas | 0001",1978-09-07,1978-09-07,1
"Western Europe","Irish Republican Army (IRA) | 0783",1971-02-06,2003-11-24,783
"Western Europe","Basque Fatherland and Freedom (ETA) | 0119",1975-05-06,2007-09-10,119
"Western Europe","Irish National Liberation Army (INLA) | 0031",1975-02-25,1996-09-03,31
"Western Europe","Ulster Freedom Fighters (UFF) | 0026",1972-03-26,2015-09-10,26
"Western Europe","Ulster Volunteer Force (UVF) | 0026",1973-02-04,2000-09-16,26
"Western Europe","Official Irish Republican Army (OIRA) | 0021",1971-03-08,1975-10-31,21
"Western Europe","Protestant Extremists | 0016",1972-07-13,2000-09-10,16
"Western Europe","Red Army Faction (RAF) | 0014",1979-06-25,1985-09-06,14
"Western Europe","First of October Antifascist Resistance Group (GRAPO) | 0013",1976-03-27,1990-06-15,13
"Western Europe","Corsican National Liberation Front (FLNC) | 0012",1978-01-14,2003-07-07,12
"Western Europe","Irish People's Liberation Organization (IPLO) | 0009",1986-12-21,1992-11-01,9
"Western Europe","Revolutionary Cells | 0009",1976-06-02,1982-07-02,9
"Western Europe","Anti-Terrorist Liberation Group (GAL) | 0008",1983-12-19,1987-07-24,8
"Western Europe","Fighting Popular Rally | 0007",1977-12-23,1977-12-23,7
"Western Europe","November 17 Revolutionary Organization (N17RO) | 0006",1984-04-03,1992-03-05,6
"Western Europe","Red Brigades | 0006",1978-05-01,1982-08-26,6
"Western Europe","Armed Proletarian Power | 0005",1977-01-01,1977-01-01,5
"Western Europe","Baader-Meinhof Group | 0005",1970-11-09,1973-09-29,5
"Western Europe","Spanish Basque Battalion (BBE) (rightist) | 0005",1978-12-21,1981-04-23,5
"Western Europe","Dissident Republicans | 0004",2013-12-17,2015-08-14,4
"Western Europe","Irish Republican Extremists | 0004",1975-04-03,1987-01-26,4
"Western Europe","Revolutionary Patriotic Anti-Fascist Front (FRAP) | 0004",1975-05-27,1977-05-02,4
"Western Europe","Revolutionary People's Struggle (ELA) | 0004",1987-09-26,1989-10-22,4
"Western Europe","Canary Islands Independence Movement | 0003",1978-02-08,1978-07-08,3
"Western Europe","Guerrillas | 0003",1979-08-09,1979-08-09,3
"Western Europe","Informal Anarchist Federation | 0003",2005-03-01,2011-03-31,3
"Western Europe","Separatists | 0003",1985-02-10,1997-05-09,3
"Western Europe","Action Directe | 0002",1980-09-19,1984-07-13,2
"Western Europe","Basque Militants | 0002",1992-05-31,1992-05-31,2
"Western Europe","Catalan Liberation Front (FAC) | 0002",1972-03-02,1972-03-19,2
"Western Europe","Dev Sol | 0002",1981-04-04,1991-07-11,2
"Western Europe","Iparretarrak (IK) | 0002",1989-06-30,1994-03-29,2
"Western Europe","Loyalist Volunteer Forces (LVF) | 0002",1997-12-27,2000-01-10,2
"Western Europe","Neo-Nazi Group | 0002",1992-11-22,2001-01-26,2
"Western Europe","Real Irish Republican Army (RIRA) | 0002",2000-11-27,2011-06-09,2
"Western Europe","Spanish Armed Group | 0002",1980-01-13,1980-01-16,2
"Western Europe","Spanish National Action | 0002",1979-08-02,1979-09-14,2
"Western Europe","2 April Group | 0001",1983-03-15,1983-03-15,1
"Western Europe","Abu Nidal Organization (ANO) | 0001",1981-10-09,1981-10-09,1
"Western Europe","Al-Sa'iqa | 0001",1984-05-29,1984-05-29,1
"Western Europe","Anarchio Scene | 0001",1984-08-01,1984-08-01,1
"Western Europe","Anarchists | 0001",1996-03-07,1996-03-07,1
"Western Europe","Animal Liberation Front (ALF) | 0001",1999-08-12,1999-08-12,1
"Western Europe","Animal Rights Activists | 0001",2000-08-20,2000-08-20,1
"Western Europe","Anonymous Underground Movement (MCA) | 0001",2004-09-12,2004-09-12,1
"Western Europe","Anti-AF | 0001",1981-03-30,1981-03-30,1
"Western Europe","Anti-Authority Group (Greece) | 0001",1990-02-13,1990-02-13,1
"Western Europe","Anti-Terrorism ETA (ATE) | 0001",1975-11-18,1975-11-18,1
"Western Europe","Ariska Brodraskapet (Aryan Brotherhood) | 0001",1999-06-28,1999-06-28,1
"Western Europe","Armed Struggle for Communism | 0001",1977-02-10,1977-02-10,1
"Western Europe","Autonomous Anarchist Groups | 0001",1979-10-24,1979-10-24,1
"Western Europe","Autonomous Decorators | 0001",2000-01-02,2000-01-02,1
"Western Europe","Azadejan (Liberation) | 0001",1981-08-13,1981-08-13,1
"Western Europe","Basque Separatists | 0001",1987-01-26,1987-01-26,1
"Western Europe","Che Guevara Brigade | 0001",1977-09-11,1977-09-11,1
"Western Europe","Combat 18 | 0001",1999-04-17,1999-04-17,1
"Western Europe","Communist Fighting Nuclei | 0001",1977-07-08,1977-07-08,1
"Western Europe","Communist Fighting Unit | 0001",1978-01-01,1978-01-01,1
"Western Europe","Continuing Struggle | 0001",1989-12-21,1989-12-21,1
"Western Europe","Continuity Irish Republican Army (CIRA) | 0001",2001-10-29,2001-10-29,1
"Western Europe","Croatian Nationalists | 0001",1976-06-16,1976-06-16,1
"Western Europe","Cuncolta Naziunalista | 0001",1995-08-31,1995-08-31,1
"Western Europe","Enraged Revolutionaries | 0001",2003-03-16,2003-03-16,1
"Western Europe","Free All Political Prisoners in Holland | 0001",1992-02-02,1992-02-02,1
"Western Europe","French Armed Islamic Front | 0001",2004-10-08,2004-10-08,1
"Western Europe","Fronte Paesanu Corsu di Liberazione (FPCL) | 0001",1975-07-30,1975-07-30,1
"Western Europe","Japanese Red Army (JRA) | 0001",1988-04-14,1988-04-14,1
"Western Europe","Jarrai | 0001",1999-04-30,1999-04-30,1
"Western Europe","Kach | 0001",1988-02-15,1988-02-15,1
"Western Europe","Khristos Kasimis | 0001",1985-09-14,1985-09-14,1
"Western Europe","Left-Wing Terrorists | 0001",1991-11-17,1991-11-17,1
"Western Europe","Militant Welsh | 0001",1981-10-26,1981-10-26,1
"Western Europe","MLA | 0001",1984-04-10,1984-04-10,1
"Western Europe","Movement for Rebuilding Fatah | 0001",1983-08-20,1983-08-20,1
"Western Europe","Movement for Self-Determination | 0001",1995-08-31,1995-08-31,1
"Western Europe","National Organization of Cypriot Fighters (EOKA) | 0001",1980-04-01,1980-04-01,1
"Western Europe","Neo-Fascists | 0001",1981-02-05,1981-02-05,1
"Western Europe","New Partisans Movement | 0001",1977-01-11,1977-01-11,1
"Western Europe","Northern Terror Front | 0001",1986-01-29,1986-01-29,1
"Western Europe","Organized Proletarian Communists | 0001",1977-10-03,1977-10-03,1
"Western Europe","Paramilitaries | 0001",2000-09-27,2000-09-27,1
"Western Europe","Plowshares | 0001",1983-12-04,1983-12-04,1
"Western Europe","Popular Forces of April 25 | 0001",1986-05-17,1986-05-17,1
"Western Europe","Popular Resistance Sabotage Group | 0001",1974-06-02,1974-06-02,1
"Western Europe","PORE | 0001",1977-12-23,1977-12-23,1
"Western Europe","Pro-Libyan | 0001",1986-12-03,1986-12-03,1
"Western Europe","Red Army for the Liberation of Catalonia | 0001",1987-12-26,1987-12-26,1
"Western Europe","Red Cell | 0001",1976-06-01,1976-06-01,1
"Western Europe","Red Hand Commandos | 0001",1995-09-28,1995-09-28,1
"Western Europe","Red Hand Defenders (RHD) | 0001",1999-06-05,1999-06-05,1
"Western Europe","Resistance, Liberation and Independence Organization (AAA) | 0001",1972-12-07,1972-12-07,1
"Western Europe","Scottish National Liberation Army | 0001",1983-12-10,1983-12-10,1
"Western Europe","Scottish Socialist Republican League | 0001",1981-01-08,1981-01-08,1
"Western Europe","Terra Lliure | 0001",1982-08-21,1982-08-21,1
"Western Europe","The New Irish Republican Army | 0001",2015-05-31,2015-05-31,1
"Western Europe","United Nasirite Organizaiton | 0001",1986-08-04,1986-08-04,1
"Western Europe","Vietnamese | 0001",1997-03-04,1997-03-04,1
"Western Europe","White Wolves (UK) | 0001",1999-04-30,1999-04-30,1
"Western Europe","Youths | 0001",1994-07-17,1994-07-17,1
NA,"NA | 0001",NA,NA,1
