"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1972,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Tourists","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1982,0,1,0,4,0,0,3,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Israel","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Other"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","France","Incendiary","Unknown","Australasia & Oceania","Kanak Separatists"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","New Caledonia","Incendiary","Arson/Fire","Australasia & Oceania","Kanak Socialist National Liberation Front"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","New Caledonia","Unknown","Unknown","Australasia & Oceania","Kanak Socialist National Liberation Front"
1984,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","France","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","National Committee Against Independence (CNCI)"
1986,0,1,0,4,0,1,1,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Turkey","Explosives/Bombs/Dynamite","Vehicle","Australasia & Oceania","Greek Bulgarian Armenian Front"
1988,0,1,0,4,0,4,5,20,0,0,0,"Armed Assault","Police","France","Firearms","Handgun","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,0,0,4,0,0,1,0,0,0,0,"Assassination","Police","France","Unknown","Unknown","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,1,0,15,0,0,0,6,0,0,0,"Hostage Taking (Kidnapping)","Police","France","Firearms","Handgun","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,0,0,4,0,0,0,0,0,0,0,"Assassination","Violent Political Party","New Caledonia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","National Committee Against Independence (CNCI)"
1988,0,1,0,4,0,17,2,0,0,0,0,"Armed Assault","Police","France","Firearms","Automatic Weapon","Australasia & Oceania","Kanak Separatists"
1988,0,0,0,4,0,0,1,0,0,0,0,"Assassination","Police","France","Firearms","Rifle/Shotgun (non-automatic)","Australasia & Oceania","Kanak Separatists"
1988,0,1,0,4,0,1,1,0,0,0,0,"Assassination","Government (General)","France","Firearms","Automatic Weapon","Australasia & Oceania","Kanak Separatists"
1989,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Telecommunication","Papua New Guinea","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Police","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Papua New Guinea","Firearms","Automatic Weapon","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Airports & Aircraft","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Papua New Guinea","Firearms","Automatic Weapon","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,8,0,1,1,0,0,0,0,"Assassination","Business","Great Britain","Firearms","Rifle/Shotgun (non-automatic)","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Papua New Guinea","Firearms","Handgun","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,5,0,0,5,"Hostage Taking (Kidnapping)","Religious Figures/Institutions","United States","Firearms","Automatic Weapon","Australasia & Oceania","Free Papua Movement (OPM-Organisasi Papua Merdeka)"
1991,0,0,0,4,0,2,0,0,0,0,0,"Assassination","Government (General)","Papua New Guinea","Firearms","Handgun","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1992,0,1,0,4,0,0,0,-99,0,0,0,"Hijacking","Business","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1992,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1994,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","Mexico","Melee","Blunt Object","Australasia & Oceania","Other"
1994,0,1,0,4,0,17,26,0,0,0,0,"Armed Assault","Government (General)","Papua New Guinea","Firearms","Automatic Weapon","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1994,0,0,0,4,0,0,0,0,0,0,0,"Armed Assault","Maritime","France","Firearms","Unknown Gun Type","Australasia & Oceania","Other"
1995,0,1,0,2,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","France","Incendiary","Unknown","Australasia & Oceania","Pacific Popular Front"
1995,0,1,0,12,0,0,0,0,0,0,0,"Armed Assault","Government (General)","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1995,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Government (General)","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1995,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Government (General)","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1995,0,1,0,4,0,0,0,0,0,0,0,"Unknown","Educational Institution","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1995,0,1,0,40,0,0,0,0,0,0,0,"Armed Assault","Government (Diplomatic)","Indonesia","Firearms","Automatic Weapon","Australasia & Oceania","Free Papua Movement (OPM-Organisasi Papua Merdeka)"
1996,1,1,0,4,0,0,1,0,0,0,0,"Unknown","Private Citizens & Property","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1996,1,1,0,4,0,0,1,0,0,0,0,"Unknown","Private Citizens & Property","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1996,1,1,0,4,0,0,1,0,0,0,0,"Unknown","Private Citizens & Property","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1996,0,1,0,4,0,2,6,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Papua New Guinea","Explosives/Bombs/Dynamite","Grenade","Australasia & Oceania","Lufa Tribesmen"
1996,0,1,0,138,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Vanuatu","Unknown","Unknown","Australasia & Oceania","Vanuatu Mobile Force (VMF)"
1996,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Barricade Incident)","Government (General)","Australia","Unknown","Unknown","Australasia & Oceania","Vanuatu Mobile Force (VMF)"
1997,0,1,0,4,0,0,0,2,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1997,0,1,0,4,0,0,0,2,265836,0,1,"Hostage Taking (Kidnapping)","Government (General)","Papua New Guinea","Unknown","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1999,0,1,0,4,0,2,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Solomon Islands","Firearms","Unknown Gun Type","Australasia & Oceania","Guadalcanal Liberation Army"
2000,1,1,0,4,0,0,0,2,0,0,-99,"Hostage Taking (Kidnapping)","Airports & Aircraft","Fiji","Unknown","Unknown","Australasia & Oceania","Anti-Government Rebels"
2000,1,1,0,4,0,0,0,200,0,0,-99,"Hostage Taking (Kidnapping)","Private Citizens & Property","Fiji","Unknown","Unknown","Australasia & Oceania","Anti-Government Rebels"
2000,0,1,0,4,0,0,0,1,2e+05,-99,-99,"Hijacking","Airports & Aircraft","Solomon Islands","Unknown","Unknown","Australasia & Oceania","Isatabu Freedom Movement (IFM)"
2001,0,0,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","United States","Chemical","Poisoning","Australasia & Oceania","September 11"
2003,0,0,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","United States","Chemical","Poisoning","Australasia & Oceania","September 11"
2003,0,0,0,4,0,0,0,0,0,0,0,"Unarmed Assault","Government (Diplomatic)","Great Britain","Chemical","Unknown","Australasia & Oceania","September 11"
2003,0,0,0,4,0,0,0,0,0,0,0,"Unarmed Assault","Private Citizens & Property","New Zealand","Chemical","Unknown","Australasia & Oceania","September 11"
2010,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Religious Figures/Institutions","Australia","Firearms","Unknown Gun Type","Australasia & Oceania","Combat 18"
2014,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","New Zealand","Incendiary","Arson/Fire","Australasia & Oceania","Animal Liberation Front (ALF)"
2014,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Australia","Incendiary","Arson/Fire","Australasia & Oceania","Informal Anarchist Federation"
2014,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Australia","Incendiary","Arson/Fire","Australasia & Oceania","Informal Anarchist Federation"
2014,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Australia","Incendiary","Arson/Fire","Australasia & Oceania","Animal Liberation Front (ALF)"
